Sr No,timestamp,act379,act13,act279,act323,act363,act302,latitude,longitude,FIR
1620,03-03-2018 17:50,0,0,1,0,0,0,22.8514,75.5422,FIR41$
1621,03-03-2018 21:20,0,0,0,1,0,0,22.7462,75.8682,FIR398$
1622,03-03-2018 11:20,0,0,1,0,0,0,22.7406,75.8509,FIR134$
1623,03-03-2018 14:00,0,0,0,1,0,0,22.7406,75.8509,FIR931$
1624,04-03-2018 09:00,0,0,0,1,0,0,22.724,75.8621,FIR1631$
1625,04-03-2018 19:05,0,0,1,0,0,0,22.7224,75.8743,FIR1215$
1626,04-03-2018 14:30,0,0,1,0,0,0,22.7096,75.8885,FIR189$
1627,04-03-2018 23:05,0,0,0,1,0,0,22.7145,75.8802,FIR159$
1628,04-03-2018 22:00,0,0,0,,0,0,22.7007,75.8672,FIR625$
1629,04-03-2018 18:30,0,0,0,1,0,0,22.7428,75.9034,FIR689$
1630,04-03-2018 22:00,0,0,0,1,0,0,22.7073,75.9131,FIR1374$
1631,04-03-2018 13:40,0,0,,0,0,0,22.7093,75.9014,FIR1465$
1632,04-03-2018 18:00,1,0,0,0,0,0,22.706,75.8605,FIR439$
1633,04-03-2018 13:30,0,0,0,1,0,0,22.6962,75.8875,FIR1575$
1634,04-03-2018 21:30,0,0,1,0,0,0,22.6474,75.9031,FIR830$
1635,04-03-2018 22:00,0,0,0,1,0,0,22.7048,75.8366,FIR318$
1636,04-03-2018 08:00,0,0,1,0,0,0,22.68883,75.83114,FIR666$
1637,04-03-2018 20:00,0,0,0,1,0,0,22.79283,75.738,FIR531$
1638,04-03-2018 08:30,0,0,0,1,0,0,22.53765,75.83305,FIR1429$
1639,04-03-2018 17:00,0,0,0,0,0,,22.539,75.911397,FIR1680$
1640,04-03-2018 21:00,0,0,1,0,0,0,22.72522,75.8713,FIR760$
1641,05-03-2018 06:15,0,0,1,0,0,0,22.7236,75.8591,FIR268$
1642,05-03-2018 23:00,0,0,0,1,0,0,22.737,75.88501,FIR1251$
1643,05-03-2018 07:30,0,0,1,0,0,0,22.737,75.88501,FIR1659$
1644,05-03-2018 19:30,0,,0,0,0,0,22.7379,,FIR412$
1645,05-03-2018 20:00,0,0,1,0,0,0,22.7657,75.8859,FIR1176$
1646,05-03-2018 13:30,0,0,0,1,0,0,22.7813,75.9034,FIR763$
1647,05-03-2018 10:00,0,0,1,0,0,0,22.726,,FIR1507$
1648,05-03-2018 14:00,0,0,1,0,0,0,22.726,75.927,FIR524$
1649,05-03-2018 23:10,0,0,1,0,0,0,22.7462,75.879,FIR1682$
1650,05-03-2018 19:05,1,0,0,0,0,0,22.794868,75.853759,FIR537$
1651,05-03-2018 19:10,1,0,0,0,0,0,22.699621,75.859932,FIR918$
1652,05-03-2018 03:30,0,0,0,1,0,0,22.710027,75.862469,FIR873$
1653,05-03-2018 18:45,1,0,0,0,0,0,22.698714,75.868101,FIR1098$
1654,05-03-2018 12:10,1,0,0,0,0,0,22.725692,75.838532,FIR1319$
1655,05-03-2018 14:25,0,0,1,0,0,0,22.728529,75.845047,FIR323$
1656,05-03-2018 15:40,0,0,1,0,0,0,22.728529,75.845047,FIR1091$
1657,05-03-2018 00:45,0,0,0,1,0,0,22.706607,75.838129,FIR880$
1658,05-03-2018 13:15,0,0,0,1,0,0,22.737303,75.885012,FIR808$
1659,05-03-2018 14:00,0,0,1,0,0,0,22.696486,75.831778,FIR837$
1660,05-03-2018 22:20,0,0,1,0,0,0,22.682472,75.837122,FIR221$
1661,05-03-2018 19:45,1,0,0,0,0,0,22.690853,,FIR550$
1662,05-03-2018 14:55,1,0,0,0,0,0,22.682074,75.852002,FIR956$
1663,05-03-2018 21:40,0,0,1,0,0,0,22.671956,75.830021,FIR688$
1664,05-03-2018 22:00,0,0,0,0,0,,22.531931,75.769126,FIR1264$
1665,05-03-2018 19:10,0,0,1,0,0,0,22.929638,75.914387,FIR1321$
1666,05-03-2018 21:00,0,0,0,1,0,0,22.539009,75.911397,FIR915$
1667,05-03-2018 18:15,0,0,0,1,0,0,22.851444,75.542195,FIR1111$
1668,06-03-2018 11:40,0,0,0,1,0,0,22.727177,75.84129,FIR524$
1669,06-03-2018 17:30,0,0,1,0,0,0,22.728835,75.8796,FIR1257$
1670,06-03-2018 15:20,0,0,1,0,0,0,22.725116,75.887766,FIR141$
1671,06-03-2018 21:15,0,0,0,1,0,0,22.738098,75.887258,FIR424$
1672,06-03-2018 20:45,0,0,0,0,1,0,22.730898,75.913329,FIR709$
1673,06-03-2018 13:45,0,0,1,0,0,0,22.703141,75.861505,FIR625$
1674,06-03-2018 15:30,0,0,0,1,0,0,22.701789,75.866702,FIR972$
1675,06-03-2018 17:25,0,0,0,,0,0,22.69968,75.864652,FIR751$
1676,06-03-2018 18:40,0,0,1,0,0,0,22.711535,75.860105,FIR1141$
1677,06-03-2018 14:30,0,0,1,0,0,0,22.711535,75.860105,FIR1444$
1678,06-03-2018 20:30,0,0,0,1,0,0,22.757062,75.882186,FIR539$
1679,06-03-2018 01:35,0,0,0,1,0,0,22.757062,75.882186,FIR1468$
1680,06-03-2018 11:30,0,0,1,0,0,0,22.70607,75.860504,FIR1721$
1681,06-03-2018 10:10,0,0,0,1,0,0,22.714156,75.856339,FIR259$
1682,07-03-2018 14:50,0,0,1,0,0,0,22.72675,75.881079,FIR1058$
1683,07-03-2018 20:40,1,0,0,0,0,0,22.721868,75.874134,FIR1341$
1684,07-03-2018 13:35,0,0,0,0,1,0,22.72104,75.903652,FIR496$
